id;creation_date;acceptance;denial;acceptance_denial_date
1;2019-10-12T00:29:16;true;false;2019-10-12T16:03:30
2;2019-10-12T05:42:15;false;true;2019-10-11T21:58:19
3;2019-10-12T08:13:08;true;true;2019-10-12T15:17:02
4;2019-10-12T15:44:21;true;false;2019-10-11T22:22:26
5;2019-10-12T00:00:38;true;true;2019-10-12T00:21:38
6;2019-10-12T06:20:58;false;false;2019-10-12T14:51:03
7;2019-10-12T13:09:46;true;true;2019-10-12T01:13:26
8;2019-10-12T00:00:48;true;true;2019-10-12T11:50:08
9;2019-10-12T02:49:37;true;true;2019-10-12T01:07:18
10;2019-10-12T19:31:27;true;false;2019-10-12T02:41:44
