id;creation_date;room_name;room_description;private_room;image;image_content_type
1;2019-10-12T21:02:58;Producer;Implementation Electronics Officer;true;../fake-data/blob/hipster.png;image/png
2;2019-10-12T14:14:30;Albania web-readiness;Namibia;false;../fake-data/blob/hipster.png;image/png
3;2019-10-12T18:11:44;zero administration;Multi-channelled Licensed;true;../fake-data/blob/hipster.png;image/png
4;2019-10-12T16:45:05;Cambridgeshire Mississippi;HDD;true;../fake-data/blob/hipster.png;image/png
5;2019-10-12T17:27:03;Small Frozen Sausages Planner;envisioneer Music Public-key;false;../fake-data/blob/hipster.png;image/png
6;2019-10-12T10:58:48;Rubber Buckinghamshire Games;incentivize Tuna copy;false;../fake-data/blob/hipster.png;image/png
7;2019-10-12T09:03:43;Mayotte;Industrial;true;../fake-data/blob/hipster.png;image/png
8;2019-10-12T02:56:26;Markets Chief;capacitor archive;true;../fake-data/blob/hipster.png;image/png
9;2019-10-12T16:50:24;Tasty Plastic Pizza scale;South Georgia and the South Sandwich Islands;true;../fake-data/blob/hipster.png;image/png
10;2019-10-12T12:58:53;mission-critical Faroe Islands Plastic;Car Industrial deliverables;false;../fake-data/blob/hipster.png;image/png
